País,Año,Fecha,Nombre
Chile,2024,29 junio,San Pedro y San Pablo
Chile,2024,16 julio,Día de la Virgen del Carmen
Chile,2024,15 agosto,Asunción de la Virgen
Chile,2024,20 agosto,Natalicio de Bernardo O’Higgins (Chillán y Chillán Viejo)
Chile,2024,18 septiembre,Díá de la Independencia Nacional
Chile,2024,19 septiembre,Día de las Glorias del Ejército
Chile,2024,20 septiembre,Viernes de las Fiestas Patrias (feriado adicional)
Chile,2024,12 octubre,Díá del Encuentro de dos Mundos
Chile,2024,31 octubre,Día de las Iglesias Evangélicas y Protestantes
Chile,2024,1 noviembre,Día de Todos los Santos
Chile,2024,8 diciembre,Día de la Inmaculada Concepción
Chile,2024,25 diciembre,Día de Navidad
Chile,2025,1 enero,Año Nuevo
Chile,2025,18 abril,Viernes Santo
Chile,2025,19 abril,Sábado Santo
Chile,2025,1 mayo,Día del Trabajo
Chile,2025,21 mayo,Día de las Glorias Navales
Chile,2025,7 junio,Díá de la Batalla de Arica (Arica y Paranicota)
Chile,2025,20 junio,Día Nacional de los Pueblos Indígenas
Chile,2025,29 junio,San Pedro y San Pablo
Chile,2025,16 julio,Día de la Virgen del Carmen
Chile,2025,15 agosto,Asunción de la Virgen
Chile,2025,20 agosto,Natalicio de Bernardo O’Higgins (Chillán y Chillán Viejo)
Chile,2025,18 septiembre,Díá de la Independencia Nacional
Chile,2025,19 septiembre,Día de las Glorias del Ejército
Chile,2025,12 octubre,Díá del Encuentro de dos Mundos
Chile,2025,31 octubre,Día de las Iglesias Evangélicas y Protestantes
Chile,2025,1 noviembre,Día de Todos los Santos
Chile,2025,8 diciembre,Día de la Inmaculada Concepción
Chile,2025,25 diciembre,Día de Navidad
Chile,2026,1 enero,Año Nuevo
Chile,2026,3 abril,Viernes Santo
Chile,2026,4 abril,Sábado Santo
Chile,2026,1 mayo,Día del Trabajo
Chile,2026,21 mayo,Día de las Glorias Navales
Chile,2026,7 junio,Díá de la Batalla de Arica (Arica y Paranicota)
Chile,2026,21 junio,Día Nacional de los Pueblos Indígenas
Chile,2026,29 junio,San Pedro y San Pablo
Chile,2026,16 julio,Día de la Virgen del Carmen
Chile,2026,15 agosto,Asunción de la Virgen
Chile,2026,20 agosto,Natalicio de Bernardo O’Higgins (Chillán y Chillán Viejo)
Chile,2026,18 septiembre,Díá de la Independencia Nacional
Chile,2026,19 septiembre,Día de las Glorias del Ejército
Chile,2026,12 octubre,Díá del Encuentro de dos Mundos
Chile,2026,31 octubre,Día de las Iglesias Evangélicas y Protestantes
Chile,2026,1 noviembre,Día de Todos los Santos
Chile,2026,8 diciembre,Día de la Inmaculada Concepción
Chile,2026,25 diciembre,Día de Navidad
